順番,名前,H,A,B,S,C,D,タイプ1,タイプ2,捕獲率,基礎経験値,努力値1,努力値2,持ち物50%,持ち物5%,性別判定,孵化歩数,初期懐き度,経験値タイプ,タマゴグループ1,タマゴグループ2,特性1,特性2,逃走値,色，向き,夢特性,28byte目,進化条件1,汎用変数1,進化先1,進化に必要なレベル1,進化条件2,汎用変数2,進化先2,進化に必要なレベル2,進化条件3,汎用変数3,進化先3,進化に必要なレベル3,進化条件4,汎用変数4,進化先4,進化に必要なレベル4,進化条件5,汎用変数5,進化先5,進化に必要なレベル5,
0,？？？？？終,0,0,0,0,0,0,無,無,0,0,0,0,アイテムなし,アイテムなし,0,0,0,0,0,0,ーーーーーーー終,ーーーーーーー終,0,0,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
1,フシギダネ終,45,49,49,45,65,65,草,毒,45,64,0,1,アイテムなし,アイテムなし,31,20,70,3,1,7,しんりょく終　　,ーーーーーーー終,0,3,0,0,普通にレベルアップ,16,フシギソウ終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
2,フシギソウ終,60,62,63,60,80,80,草,毒,45,141,0,5,アイテムなし,アイテムなし,31,20,70,3,1,7,しんりょく終　　,ーーーーーーー終,0,3,0,0,普通にレベルアップ,32,フシギバナ終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
3,フシギバナ終,80,82,83,80,100,100,草,毒,45,208,0,6,アイテムなし,アイテムなし,31,20,70,3,1,7,しんりょく終　　,ーーーーーーー終,0,3,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
4,ヒトカゲ終　,39,52,43,65,60,50,炎,炎,45,65,64,0,アイテムなし,アイテムなし,31,20,70,3,1,14,もうか終　　　　,ーーーーーーー終,0,0,0,0,普通にレベルアップ,16,リザード終　,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
5,リザード終　,58,64,58,80,80,65,炎,炎,45,142,64,1,アイテムなし,アイテムなし,31,20,70,3,1,14,もうか終　　　　,ーーーーーーー終,0,0,0,0,普通にレベルアップ,36,リザードン終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
6,リザードン終,78,84,78,100,109,85,炎,飛,45,209,0,3,アイテムなし,アイテムなし,31,20,70,3,1,14,もうか終　　　　,ーーーーーーー終,0,0,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
7,ゼニガメ終　,44,48,65,43,50,64,水,水,45,66,16,0,アイテムなし,アイテムなし,31,20,70,3,1,2,げきりゅう終　　,ーーーーーーー終,0,1,0,0,普通にレベルアップ,16,カメール終　,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
8,カメール終　,59,63,80,58,65,80,水,水,45,143,16,4,アイテムなし,アイテムなし,31,20,70,3,1,2,げきりゅう終　　,ーーーーーーー終,0,1,0,0,普通にレベルアップ,36,カメックス終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
9,カメックス終,79,83,100,78,85,105,水,水,45,210,0,12,アイテムなし,アイテムなし,31,20,70,3,1,2,げきりゅう終　　,ーーーーーーー終,0,1,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
10,キャタピー終,45,30,35,45,20,20,虫,虫,255,53,1,0,アイテムなし,アイテムなし,127,15,70,0,3,3,りんぷん終　　　,ーーーーーーー終,0,3,0,0,普通にレベルアップ,7,トランセル終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
11,トランセル終,50,20,55,30,25,25,虫,虫,120,72,32,0,アイテムなし,アイテムなし,127,15,70,0,3,3,だっぴ終　　　　,ーーーーーーー終,0,3,0,0,普通にレベルアップ,10,バタフリー終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
12,バタフリー終,60,45,50,70,90,80,虫,飛,45,160,0,6,アイテムなし,ぎんのこな,127,15,70,0,3,3,ふくがん終　　　,ーーーーーーー終,0,8,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
13,ビードル終　,40,35,30,50,20,20,虫,毒,255,52,64,0,アイテムなし,アイテムなし,127,15,70,0,3,3,りんぷん終　　　,ーーーーーーー終,0,5,0,0,普通にレベルアップ,7,コクーン終　,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
14,コクーン終　,45,25,50,35,25,25,虫,毒,120,71,32,0,アイテムなし,アイテムなし,127,15,70,0,3,3,だっぴ終　　　　,ーーーーーーー終,0,2,0,0,普通にレベルアップ,10,スピアー終　,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
15,スピアー終　,65,90,40,75,45,80,虫,毒,45,159,8,4,アイテムなし,どくバリ,127,15,70,0,3,3,むしのしらせ終　,ーーーーーーー終,0,2,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
16,ポッポ終　　,40,45,40,56,35,35,無,飛,255,55,64,0,アイテムなし,アイテムなし,127,15,70,3,4,4,するどいめ終　　,はりきり終　　　,0,5,0,0,普通にレベルアップ,18,ピジョン終　,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
